,"日東","日東","京急","京急","日東","日東","京急","京急","日東","日東","京急","京急","日東","日東","京急","京急"
"君津製鐵所","4:55","5:40","6:25","7:10","8:10","9:10","10:35","11:50","16:00","16:45","17:05","18:05","19:55","20:45","21:05","22:05"
"君津駅南口","5:10","5:55","6:40","7:25","8:25","9:25","10:50","12:05","16:15","17:00","17:20","18:20","20:10","21:00","21:20","22:20"
"君津市役所","5:13","5:58","6:43","7:28","8:28","9:28","10:53","12:08","16:18","17:03","17:23","18:23","20:13","21:03","21:23","22:23"
"杢師四丁目","5:16","6:01","6:46","7:31","8:31","9:31","10:56","12:11","16:21","17:06","17:26","18:26","20:16","21:06","21:26","22:26"
"君津BT","5:23","6:08","6:53","7:38","8:38","9:38","11:03","12:18","16:28","17:13","17:33","18:33","20:23","21:13","21:33","22:33"
"木更津羽鳥野","5:27","6:12","6:57","7:42","8:42","9:42","11:07","12:22","16:32","17:17","17:37","18:37","20:27","21:17","21:37","22:37"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"羽田空港第１ターミナル","5:53","6:38","7:23","8:08","9:08","10:08","11:33","12:48","16:58","17:43","18:03","19:03","20:53","21:43","22:03","23:03"
"羽田空港第２ターミナル","5:58","6:43","7:28","8:13","9:13","10:13","11:38","12:53","17:03","17:48","18:08","19:08","20:58","21:48","22:08","23:08"
"羽田空港国際線ターミナル","6:08","6:53","7:38","8:23","9:23","10:23","11:48","13:03","17:13","17:58","18:18","19:18","21:08","21:58","22:18","23:18"
