,"京急","日東","日東","京急","日東","京急","日東","京急","京急","日東","日東","京急","京急","日東","日東"
"羽田空港国際線ターミナル","5:40","6:20","7:20","9:05","9:45","10:15","10:45","15:35","16:35","17:35","18:35","19:35","20:35","21:35","22:35"
"羽田空港第２ターミナル","5:50","6:30","7:30","9:15","9:55","10:25","10:55","15:45","16:45","17:45","18:45","19:45","20:45","21:45","22:45"
"羽田空港第１ターミナル","5:55","6:35","7:35","9:20","10:00","10:30","11:00","15:50","16:50","17:50","18:50","19:50","20:50","21:50","22:50"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"木更津羽鳥野 ","6:26","7:06","8:06","9:51","10:31","11:01","11:31","16:21","17:21","18:21","19:21","20:21","21:21","22:21","23:21"
"君津BT","6:30","7:10","8:10","9:55","10:35","11:05","11:35","16:25","17:25","18:25","19:25","20:25","21:25","22:25","23:25"
"杢師四丁目","6:36","7:16","8:16","10:01","10:41","11:11","11:41","16:31","17:31","18:31","19:31","20:31","21:31","22:31","23:31"
"君津市役所","6:39","7:19","8:19","10:04","10:44","11:14","11:44","16:34","17:34","18:34","19:34","20:34","21:34","22:34","23:34"
"君津駅南口","6:42","7:22","8:22","10:07","10:47","11:17","11:47","16:37","17:37","18:37","19:37","20:37","21:37","22:37","23:37"
"君津製鐵所","6:57","7:37","8:37","10:22","11:02","11:32","12:02","16:52","17:52","18:52","19:52","20:52","21:52","22:52","23:52"
